nom,distance,ascension_droite,declinaison,masse,temperature,type
Kepler-358 c,1336.21,19 32 55.2567,+48 16 53.0373,,,planet
Kepler-358 b,1336.21,19 32 55.2567,+48 16 53.0373,,,planet
TOI-858 B b,250.489,04 00 48,-54 35 34,1.1,1529.0,planet
WASP-69 b,50.0,21 00 06.1969,-05 05 40.0370,0.26,963.0,planet
Kepler-915 b,870.322,19 22 22.1018,+45 44 13.7408,,,planet
Kepler-1046 b,558.815,19 47 01.3857,+46 59 53.8141,,,planet
HATS-74A b,286.6,11 24 04.00,-19 33 26.00,1.46,895.0,planet
HD 285507 b,44.7,04 07 01.2257,+15 20 06.1084,0.917,,planet
WASP-175 b,584.0,11 05 16.5422,-34 07 21.9765,0.99,1571.0,planet
Kepler-1069 b,710.227,19 23 55.0395,+47 59 20.3973,,,planet
KIC 9663113 b,1670.84,19 48 10.9012,+46 19 43.3285,,,planet
KOI-179.01,1670.84,19 48 10.9012,+46 19 43.3285,,,planet
Kepler-498 b,964.878,19 21 25.9566,+44 31 07.4419,,,planet
HD 74156 b,64.4,08 42 25.12216,+04 34 41.1473,1.778,,planet
HD 74156 c,64.4,08 42 25.12216,+04 34 41.1473,7.77,,planet
HD 18143 b,22.5243,02 55 39,+26 52 21,0.03307,,planet
HD 18143 c,22.5243,02 55 39,+26 52 21,9.80228,,planet
HIP 5763 b,31.93,23 39 00.00,+16 29 40.00,0.51,,planet
Kepler-1818 b,1034.59,18 57 19,+40 34 08,0.0113,1209.0,planet
Kepler-1096 b,382.088,19 38 50.2511,+45 58 10.1915,,,planet
WASP-104 b,143.0,10 42 24.6020,+07 26 06.2946,1.272,1516.0,planet
TOI-172 b,336.47,21 06 32,-26 41 34,5.42,1198.0,planet
HD 215497 b,44.0,22 46 36.7539,-56 35 58.3284,0.02,984.3,planet
HD 215497 c,44.0,22 46 36.7539,-56 35 58.3284,0.33,185.8,planet
K2-285 b,155.65,23 17 32.2274,+01 18 01.0729,0.03046,1089.0,planet
K2-285 c,155.65,23 17 32.2274,+01 18 01.0729,0.04933,741.0,planet
K2-285 d,155.65,23 17 32.2274,+01 18 01.0729,0.02045,620.0,planet
K2-285 e,155.65,23 17 32.2274,+01 18 01.0729,0.03367,501.0,planet
TOI-4603 b,225.643,05 35 28,+21 17 39,12.89,1677.0,planet
Kepler-996 b,1260.4,19 27 39.0689,+41 32 01.0161,,,planet
Kepler-294 c,1698.68,19 09 34.0855,+46 03 33.4324,,,planet
Kepler-294 b,1698.68,19 09 34.0855,+46 03 33.4324,,,planet
WASP-77 A b,93.0,02 28 37,-07 03 38,1.76,,planet
KIC 7821010 b,360.5,19 25 16.7626,+43 35 43.7098,2.6,,planet
Kepler-533 b,305.633,19 34 44.5768,+48 49 30.4365,,,planet
HATS-19 b,780.0,09 49 37.6184,-33 46 53,0.427,,planet
2MASS J2117-2940,16.9,21 17 14.31,-29 40 03.42,7.0,1192.0,planet
K2-283 b,408.24,00 52 46.6598,+09 41 34.5319,,1186.0,planet
EPIC 220674823 b,257.2,00 52 19.1416,+10 47 40.9037,,,planet
EPIC 220674823 c,257.2,00 52 19.1416,+10 47 40.9037,,,planet
CoRoT-24 b,600.0,06 47 41.4116,-03 43 09.4837,,1070.0,planet
CoRoT-24 c,600.0,06 47 41.4116,-03 43 09.4837,0.088,850.0,planet
WASP-65 b,310.0,08 53 17.8286,+08 31 22.8112,1.55,1480.0,planet
Kepler-1577 b,517.572,19 31 49.2704,+47 34 23.1755,,,planet
MOA-2015-BLG-337L b,7100.0,18 07 48,-28 10 13,0.10603,,planet
HAT-P-58 b,515.59,04 35 23.1828,+56 52 05.5847,0.372,1622.0,planet
Kepler-984 b,466.374,19 47 50.1293,+46 23 38.8524,,,planet
KIC 10001893 b,,19 09 33.4134,+46 59 04.1077,,,planet
KIC 10001893 c,,19 09 33.4134,+46 59 04.1077,,,planet
KIC 10001893 d,,19 09 33.4134,+46 59 04.1077,,,planet
Kepler-1992 b,532.955,19 40 22,+45 04 52,0.00218,637.0,planet
Kepler-1128 b,1116.69,19 32 15.1976,+39 24 12.3974,,,planet
HD 70642 b,28.8,08 21 28.1371,-39 42 19.4800,2.0,126.1,planet
Kepler-1296 b,1622.85,19 28 30.0424,+41 24 28.1326,,,planet
Kepler-781 b,1097.33,19 10 36.8698,+47 24 53.3488,,,planet
Kepler-1260 b,1823.49,19 42 21.9024,+42 33 18.8388,,,planet
TYC 4282-00605-1 b,700.0,22 55 29.2312,+62 14 20.8889,10.78,,planet
TYC 3667-1280-1 b,481.0,00 51 32.9649,+58 25 34.2446,5.4,,planet
K2-355 b,500.497,08 18 34,+13 30 10,0.0179,1066.0,planet
TOI-2641 b,344.045,11 24 31,-42 43 56,0.386,1387.0,planet
TrES-5 b,360.0,20 20 53.2483,+59 26 55.5744,1.778,,planet
HD 97048 b,185.0,11 08 03.3105,-77 39 17.4911,2.5,,planet
KIC 3558849 b,1258.81,19 39 47.9634,+38 36 18.6271,,,planet
KOI-4307.01,1258.81,19 39 47.9634,+38 36 18.6271,,,planet
TOI-1478 b,153.0,08 25 44.00,-13 33 35.00,0.847,918.0,planet
Kepler-1014 b,636.254,19 00 29.2876,+44 06 38.0630,,,planet
HD 20782 b,35.49,03 20 03.57791,-28 51 14.6651,1.43,,planet
HD 20781 b,35.49,03 20 03.57791,-28 51 14.6651,0.037882,,planet
HD 20781 c,35.49,03 20 03.57791,-28 51 14.6651,0.049649,,planet
Kepler-1563 b,,19 14 17.6650,+51 28 21.9814,,,planet
HIP 67522 b,127.27,13 50 06.2796,-40 50 08.8782,,1174.0,planet
OGLE-2019-BLG-0954L b,3630.0,17 51 39.00,-29 36 40.00,14.2,,planet
HAT-P-68 b,202.0,07 54 56.00,+23 56 18.00,0.724,1028.0,planet
TOI-2587 A b,373.675,07 43 44,-01 04 24,0.218,1445.0,planet
G 264-012 b,15.986,21 46 41.00,+66 48 21.00,0.0079,587.0,planet
G 264-012 c,15.986,21 46 41.00,+66 48 21.00,0.0118,387.0,planet
Kepler-1615 b,1452.22,19 05 26.2154,+42 13 38.7707,,,planet
HAT-P-8 b,230.0,22 52 10,+35 26 50,1.275,1713.0,planet
Kepler-1573 b,1518.6,19 31 57.2014,+49 29 05.8651,,,planet
CoRoT-8 b,380.0,19 26 21.2426,+01 25 35.1781,0.22,783.1,planet
Kepler-738 b,1149.95,19 10 16.7150,+46 34 04.3584,,,planet
TOI-1098 b,105.1,12 50 23.00,-88 07 16.00,,,planet
Kepler-527 b,766.636,19 23 49.8997,+47 24 22.5767,,,planet
OGLE-2016-BLG-1928,,18 01 31.25,-29 07 46.20,0.0009,,planet
WASP-79 b,240.0,04 25 29.0168,-30 36 01.6109,0.9,1958.7,planet
K2-378 b,687.973,13 40 38,-11 07 02,0.0272,,planet
HD 116029 b,122.4,13 20 39.5420,+24 38 55.3099,2.1,,planet
HD 116029 c,122.4,13 20 39.5420,+24 38 55.3099,1.27,,planet
GJ 3942 b,16.94,16 09 03.1411,+52 56 37.9584,0.02246,590.0,planet
Kepler-862 b,1067.92,19 51 07.0287,+46 29 33.8208,,,planet
KOI-206 b,1870.0,19 50 22.4723,+40 58 38.1541,2.82,,planet
Kepler-836 b,1008.27,19 09 48.6675,+45 42 15.8047,,,planet
11 UMi b,122.1,15 17 05.88899,+71 49 26.0466,11.2,,planet
HD 99109 b,60.5,11 24 17.3586,-01 31 44.6634,0.502,231.3,planet
MOA-2012-BLG-006L b,5300.0,18 01 46.31,-29 06 31.6,8.4,,planet
K2-60 b,498.7,22 34 25.4864,-13 16 06,0.426,,planet
Kepler-233 b,859.5,19 45 27.9547,+51 19 10.2057,,,planet
Kepler-233 c,859.5,19 45 27.9547,+51 19 10.2057,,,planet
Kepler-381 c,243.23,19 00 43.8669,+43 49 51.9050,,,planet
Kepler-381 b,243.23,19 00 43.8669,+43 49 51.9050,,,planet
OGLE2-TR-L9 b,900.0,11 07 55.1807,-61 08 46.5371,4.34,2154.6,planet
Kepler-167 b,330.0,19 30 38.0262,+38 20 43.4366,,,planet
Kepler-167 c,330.0,19 30 38.0262,+38 20 43.4366,,,planet
Kepler-167 d,330.0,19 30 38.0262,+38 20 43.4366,,,planet
Kepler-167 e,330.0,19 30 38.0262,+38 20 43.4366,,,planet
Kepler-528 b,802.311,19 42 44.3470,+47 44 53.0655,,,planet
Kepler-1319 b,104.229,19 23 49.4626,+49 21 58.5309,,,planet
CoRoT-35 b,1140.0,19 17 15.00,-02 46 29.00,1.1,1747.0,planet
Kepler-560 b,109.653,20 00 49.4706,+45 01 05.3709,,,planet
Kepler-1231 b,1015.95,19 14 21.2021,+42 36 20.4199,,,planet
Kepler-1336 b,1164.14,19 45 06.6483,+46 53 59.4497,,,planet
Kepler-1336 c,1164.14,19 45 06.6483,+46 53 59.4497,,,planet
TOI-837 b,143.08,10 28 08.9905,-64 30 18.9337,1.2,,planet
Kepler-320 c,767.15,19 32 51.2382,+46 10 30.4069,,,planet
Kepler-320 b,767.15,19 32 51.2382,+46 10 30.4069,,,planet
Kepler-1059 b,727.749,19 16 52.8497,+41 42 23.2791,,,planet
2MASS J0718-6415,9.34,07 18 08.71,-64 15 31.09,3.0,596.0,planet
HD 155918 b,27.561,17 22 09,-75 20 57,0.0236,,planet
HD 155918 c,27.561,17 22 09,-75 20 57,5.8203,,planet
TOI-2084 b,114.549,17 17 01,+72 44 49,0.021,527.0,planet
Kepler-1629 b,339.3627,18 40 49.5860,+43 46 27.5286,,,planet
K2-412 b,654.085,05 05 03,+21 34 49,0.0161,,planet
K2-292 b,114.29,13 41 30.3033,-09 56 45.8791,0.07709,795.0,planet
Kepler-494 b,,19 48 51.3743,+41 39 50.5049,,,planet
ROXs 42 B b,120.0,16 31 15,-24 32 24,10.0,,planet
Kepler-1547 b,688.089,18 55 03.3744,+42 13 19.6919,,,planet
HD 330075 b,50.2,15 49 37.6938,-49 57 48.6770,0.62,1023.2,planet
BD+14 4559 b,48.36,21 13 35.99143,+14 41 21.7994,1.47,,planet
Kepler-946 b,1174.95,20 03 43.1036,+44 01 43.5413,,,planet
Kepler-1495 b,,19 04 31.3776,+38 46 46.6032,,,planet
Kepler-1403 b,,19 23 28.2389,+38 57 36.4411,,,planet
TOI-1422 b,154.56,23 36 57.80,+39 38 21.39,0.028,867.0,planet
TOI-1422 c,154.56,23 36 57.80,+39 38 21.39,0.0349,881.0,planet
YBP401 b,843.0,08 51 19.046,+11 40 15.67,0.42,,planet
Kepler-690 b,,19 37 57.5774,+39 46 17.2732,,,planet
